7.2363 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018785214320>, gamma=None, gammaErrorPolicy='raise', kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000187854FA550>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.9134 	EXP 	Created response_2 = Polygon(__class__=<class 'psychopy.visual.polygon.Polygon'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-8.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='response_2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...))
7.9259 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Calibri', fontFiles=[], height=0.025, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1)
7.9562 	EXP 	text_3: autoDraw = True
10.2554 	DATA 	Mouse: Left button down, pos=(800,719)
10.3523 	DATA 	Mouse:  Left button up, pos=(800,719)
11.6031 	DATA 	Keypress: space
14.0866 	EXP 	Imported trials_short_delay.xlsx as conditions, 16 conditions, 13 params
14.0869 	EXP 	Created sequence: sequential, trialTypes=16, nReps=1, seed=None
14.0873 	EXP 	New trial (rep=0, index=0): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [-1, 1, 1]), ('Color135', [0, 0, 0]), ('Color180', [1, -1, 1]), ('Color225', [0, 0, 0]), ('Color270', [0, 0, 0]), ('Color315', [-1, -1, 1]), ('Cueresp', [-1, -1, 1]), ('target_angle', 315), ('load', 3), ('delay', 2), ('trial', 0)])
14.0948 	DATA 	Keypress: space
14.0974 	EXP 	text_3: autoDraw = False
14.0974 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos90: fillColor = '[-1.  1.  1.] (rgb)'
14.0974 	EXP 	pos90: lineColor = '[-1.  1.  1.] (rgb)'
14.0974 	EXP 	pos135: fillColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos135: lineColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos180: fillColor = '[ 1. -1.  1.] (rgb)'
14.0974 	EXP 	pos180: lineColor = '[ 1. -1.  1.] (rgb)'
14.0974 	EXP 	pos225: fillColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos225: lineColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos270: fillColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos270: lineColor = '[0. 0. 0.] (rgb)'
14.0974 	EXP 	pos315: fillColor = '[-1. -1.  1.] (rgb)'
14.0974 	EXP 	pos315: lineColor = '[-1. -1.  1.] (rgb)'
14.0974 	EXP 	response: fillColor = '[-1. -1.  1.] (rgb)'
14.0974 	EXP 	response: lineColor = '[-1. -1.  1.] (rgb)'
14.0974 	EXP 	pos0: autoDraw = True
14.0974 	EXP 	pos45: autoDraw = True
14.0974 	EXP 	pos90: autoDraw = True
14.0974 	EXP 	pos135: autoDraw = True
14.0974 	EXP 	pos180: autoDraw = True
14.0974 	EXP 	pos225: autoDraw = True
14.0974 	EXP 	pos270: autoDraw = True
14.0974 	EXP 	pos315: autoDraw = True
19.0973 	EXP 	pos0: autoDraw = False
19.0973 	EXP 	pos45: autoDraw = False
19.0973 	EXP 	pos90: autoDraw = False
19.0973 	EXP 	pos135: autoDraw = False
19.0973 	EXP 	pos180: autoDraw = False
19.0973 	EXP 	pos225: autoDraw = False
19.0973 	EXP 	pos270: autoDraw = False
19.0973 	EXP 	pos315: autoDraw = False
21.0969 	EXP 	response: autoDraw = True
23.7635 	DATA 	Mouse: Left button down, pos=(1325,296)
23.7743 	EXP 	New trial (rep=0, index=1): OrderedDict([('Color0', [1, 1, -1]), ('Color45', [1, -1, -1]), ('Color90', [0, 0, 0]), ('Color135', [0, 0, 0]), ('Color180', [0, 0, 0]), ('Color225', [0, 0, 0]), ('Color270', [0, 0, 0]), ('Color315', [-1, 1, -1]), ('Cueresp', [-1, 1, -1]), ('target_angle', 315), ('load', 3), ('delay', 2), ('trial', 1)])
23.7859 	EXP 	pos0: autoDraw = False
23.7859 	EXP 	pos45: autoDraw = False
23.7859 	EXP 	pos90: autoDraw = False
23.7859 	EXP 	pos135: autoDraw = False
23.7859 	EXP 	pos180: autoDraw = False
23.7859 	EXP 	pos225: autoDraw = False
23.7859 	EXP 	pos270: autoDraw = False
23.7859 	EXP 	pos315: autoDraw = False
23.7859 	EXP 	response: autoDraw = False
23.7859 	EXP 	pos0: fillColor = '[ 1.  1. -1.] (rgb)'
23.7859 	EXP 	pos0: lineColor = '[ 1.  1. -1.] (rgb)'
23.7859 	EXP 	pos45: fillColor = '[ 1. -1. -1.] (rgb)'
23.7859 	EXP 	pos45: lineColor = '[ 1. -1. -1.] (rgb)'
23.7859 	EXP 	pos90: fillColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos90: lineColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos135: fillColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos135: lineColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos180: fillColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos180: lineColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos225: fillColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos225: lineColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos270: fillColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos270: lineColor = '[0. 0. 0.] (rgb)'
23.7859 	EXP 	pos315: fillColor = '[-1.  1. -1.] (rgb)'
23.7859 	EXP 	pos315: lineColor = '[-1.  1. -1.] (rgb)'
23.7859 	EXP 	response: fillColor = '[-1.  1. -1.] (rgb)'
23.7859 	EXP 	response: lineColor = '[-1.  1. -1.] (rgb)'
23.7859 	EXP 	pos0: autoDraw = True
23.7859 	EXP 	pos45: autoDraw = True
23.7859 	EXP 	pos90: autoDraw = True
23.7859 	EXP 	pos135: autoDraw = True
23.7859 	EXP 	pos180: autoDraw = True
23.7859 	EXP 	pos225: autoDraw = True
23.7859 	EXP 	pos270: autoDraw = True
23.7859 	EXP 	pos315: autoDraw = True
23.8990 	DATA 	Mouse:  Left button up, pos=(1325,296)
28.7940 	EXP 	pos0: autoDraw = False
28.7940 	EXP 	pos45: autoDraw = False
28.7940 	EXP 	pos90: autoDraw = False
28.7940 	EXP 	pos135: autoDraw = False
28.7940 	EXP 	pos180: autoDraw = False
28.7940 	EXP 	pos225: autoDraw = False
28.7940 	EXP 	pos270: autoDraw = False
28.7940 	EXP 	pos315: autoDraw = False
30.7765 	EXP 	response: autoDraw = True
32.2645 	DATA 	Mouse: Left button down, pos=(1286,368)
32.2675 	EXP 	New trial (rep=0, index=2): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [1, 1, -1]), ('Color135', [1, 1, 1]), ('Color180', [0, 0, 0]), ('Color225', [0, 0, 0]), ('Color270', [1, -1, -1]), ('Color315', [0, 0, 0]), ('Cueresp', [1, 1, -1]), ('target_angle', 90), ('load', 3), ('delay', 2), ('trial', 2)])
32.2766 	EXP 	pos0: autoDraw = False
32.2766 	EXP 	pos45: autoDraw = False
32.2766 	EXP 	pos90: autoDraw = False
32.2766 	EXP 	pos135: autoDraw = False
32.2766 	EXP 	pos180: autoDraw = False
32.2766 	EXP 	pos225: autoDraw = False
32.2766 	EXP 	pos270: autoDraw = False
32.2766 	EXP 	pos315: autoDraw = False
32.2766 	EXP 	response: autoDraw = False
32.2766 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos90: fillColor = '[ 1.  1. -1.] (rgb)'
32.2766 	EXP 	pos90: lineColor = '[ 1.  1. -1.] (rgb)'
32.2766 	EXP 	pos135: fillColor = '[1. 1. 1.] (rgb)'
32.2766 	EXP 	pos135: lineColor = '[1. 1. 1.] (rgb)'
32.2766 	EXP 	pos180: fillColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos180: lineColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos225: fillColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos225: lineColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos270: fillColor = '[ 1. -1. -1.] (rgb)'
32.2766 	EXP 	pos270: lineColor = '[ 1. -1. -1.] (rgb)'
32.2766 	EXP 	pos315: fillColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	pos315: lineColor = '[0. 0. 0.] (rgb)'
32.2766 	EXP 	response: fillColor = '[ 1.  1. -1.] (rgb)'
32.2766 	EXP 	response: lineColor = '[ 1.  1. -1.] (rgb)'
32.2766 	EXP 	pos0: autoDraw = True
32.2766 	EXP 	pos45: autoDraw = True
32.2766 	EXP 	pos90: autoDraw = True
32.2766 	EXP 	pos135: autoDraw = True
32.2766 	EXP 	pos180: autoDraw = True
32.2766 	EXP 	pos225: autoDraw = True
32.2766 	EXP 	pos270: autoDraw = True
32.2766 	EXP 	pos315: autoDraw = True
32.3794 	DATA 	Mouse:  Left button up, pos=(1286,368)
37.2906 	EXP 	pos0: autoDraw = False
37.2906 	EXP 	pos45: autoDraw = False
37.2906 	EXP 	pos90: autoDraw = False
37.2906 	EXP 	pos135: autoDraw = False
37.2906 	EXP 	pos180: autoDraw = False
37.2906 	EXP 	pos225: autoDraw = False
37.2906 	EXP 	pos270: autoDraw = False
37.2906 	EXP 	pos315: autoDraw = False
39.2737 	EXP 	response: autoDraw = True
41.2254 	DATA 	Mouse: Left button down, pos=(973,939)
41.2372 	EXP 	New trial (rep=0, index=3): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [0, 0, 0]), ('Color135', [0, 0, 0]), ('Color180', [1, -1, -1]), ('Color225', [-1, 1, -1]), ('Color270', [-1, -1, 1]), ('Color315', [0, 0, 0]), ('Cueresp', [-1, -1, 1]), ('target_angle', 270), ('load', 3), ('delay', 2), ('trial', 3)])
41.2546 	EXP 	pos0: autoDraw = False
41.2546 	EXP 	pos45: autoDraw = False
41.2546 	EXP 	pos90: autoDraw = False
41.2546 	EXP 	pos135: autoDraw = False
41.2546 	EXP 	pos180: autoDraw = False
41.2546 	EXP 	pos225: autoDraw = False
41.2546 	EXP 	pos270: autoDraw = False
41.2546 	EXP 	pos315: autoDraw = False
41.2546 	EXP 	response: autoDraw = False
41.2546 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos90: fillColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos90: lineColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos135: fillColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos135: lineColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos180: fillColor = '[ 1. -1. -1.] (rgb)'
41.2546 	EXP 	pos180: lineColor = '[ 1. -1. -1.] (rgb)'
41.2546 	EXP 	pos225: fillColor = '[-1.  1. -1.] (rgb)'
41.2546 	EXP 	pos225: lineColor = '[-1.  1. -1.] (rgb)'
41.2546 	EXP 	pos270: fillColor = '[-1. -1.  1.] (rgb)'
41.2546 	EXP 	pos270: lineColor = '[-1. -1.  1.] (rgb)'
41.2546 	EXP 	pos315: fillColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	pos315: lineColor = '[0. 0. 0.] (rgb)'
41.2546 	EXP 	response: fillColor = '[-1. -1.  1.] (rgb)'
41.2546 	EXP 	response: lineColor = '[-1. -1.  1.] (rgb)'
41.2546 	EXP 	pos0: autoDraw = True
41.2546 	EXP 	pos45: autoDraw = True
41.2546 	EXP 	pos90: autoDraw = True
41.2546 	EXP 	pos135: autoDraw = True
41.2546 	EXP 	pos180: autoDraw = True
41.2546 	EXP 	pos225: autoDraw = True
41.2546 	EXP 	pos270: autoDraw = True
41.2546 	EXP 	pos315: autoDraw = True
41.3432 	DATA 	Mouse:  Left button up, pos=(973,939)
46.2545 	EXP 	pos0: autoDraw = False
46.2545 	EXP 	pos45: autoDraw = False
46.2545 	EXP 	pos90: autoDraw = False
46.2545 	EXP 	pos135: autoDraw = False
46.2545 	EXP 	pos180: autoDraw = False
46.2545 	EXP 	pos225: autoDraw = False
46.2545 	EXP 	pos270: autoDraw = False
46.2545 	EXP 	pos315: autoDraw = False
48.2540 	EXP 	response: autoDraw = True
50.5212 	DATA 	Mouse: Left button down, pos=(927,135)
50.5271 	EXP 	New trial (rep=0, index=4): OrderedDict([('Color0', [0, 0, 0]), ('Color45', [0, 0, 0]), ('Color90', [0, 0, 0]), ('Color135', [-1, 1, 1]), ('Color180', [-1, -1, 1]), ('Color225', [1, 1, -1]), ('Color270', [0, 0, 0]), ('Color315', [0, 0, 0]), ('Cueresp', [-1, 1, 1]), ('target_angle', 135), ('load', 3), ('delay', 2), ('trial', 4)])
50.5377 	EXP 	pos0: autoDraw = False
50.5377 	EXP 	pos45: autoDraw = False
50.5377 	EXP 	pos90: autoDraw = False
50.5377 	EXP 	pos135: autoDraw = False
50.5377 	EXP 	pos180: autoDraw = False
50.5377 	EXP 	pos225: autoDraw = False
50.5377 	EXP 	pos270: autoDraw = False
50.5377 	EXP 	pos315: autoDraw = False
50.5377 	EXP 	response: autoDraw = False
50.5377 	EXP 	pos0: fillColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos0: lineColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos45: fillColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos45: lineColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos90: fillColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos90: lineColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos135: fillColor = '[-1.  1.  1.] (rgb)'
50.5377 	EXP 	pos135: lineColor = '[-1.  1.  1.] (rgb)'
50.5377 	EXP 	pos180: fillColor = '[-1. -1.  1.] (rgb)'
50.5377 	EXP 	pos180: lineColor = '[-1. -1.  1.] (rgb)'
50.5377 	EXP 	pos225: fillColor = '[ 1.  1. -1.] (rgb)'
50.5377 	EXP 	pos225: lineColor = '[ 1.  1. -1.] (rgb)'
50.5377 	EXP 	pos270: fillColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos270: lineColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos315: fillColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	pos315: lineColor = '[0. 0. 0.] (rgb)'
50.5377 	EXP 	response: fillColor = '[-1.  1.  1.] (rgb)'
50.5377 	EXP 	response: lineColor = '[-1.  1.  1.] (rgb)'
50.5377 	EXP 	pos0: autoDraw = True
50.5377 	EXP 	pos45: autoDraw = True
50.5377 	EXP 	pos90: autoDraw = True
50.5377 	EXP 	pos135: autoDraw = True
50.5377 	EXP 	pos180: autoDraw = True
50.5377 	EXP 	pos225: autoDraw = True
50.5377 	EXP 	pos270: autoDraw = True
